facility,valid_days,training_daily_mean,training_coverage,eligible,selection_hash,selected
335003,275,6.472727272727273,1.0,True,64c0519052ccd1a2f3693f7afffe1b9b4797502c7ee5a4f1aeeaf0afa7fe6c68,False
335004,275,7.461309090909092,1.0,True,8a81828a92d936195afff511b6d912d14133710bd90ad8e07fbbb03627f6293e,False
335005,275,128.1938909090909,1.0,True,2e082060b2298014964c5d9274d43f36f45d1d4440da5bca8a8ca137e8a13c7a,False
335006,275,0.0,1.0,True,23ad294b5c96be4a4713cd8ee608b0a014393c5bd3f1eb6be96eb888c862d9d9,False
335008,275,50.15516363636364,1.0,True,cd261112d390f48d19bbddb147e1ad09903af9dc7fe3cee7b20ed5dfaed7e328,False
335011,275,480.7927272727273,1.0,True,19ae0511effb0fbc65efde9c25a8275f7ab2f9bf4622e719d22857f96bb3e47e,False
335014,275,117.32818181818182,1.0,True,4926cb659785815c1adbfa5bc9523e895ef19ed22040fbcfcf446dd97a57ba2a,False
335015,275,228.91105454545456,1.0,True,31443a15fc5feaea73131e078b3fd5fe9f82456ede86f50735ded0f536c63551,False
335017,275,29.55781818181818,1.0,True,cb1a822cd425074976a9a2649f67154a314f5cb53ad53eb656a3ea73cdc7e8c4,False
335019,275,4.065454545454545,1.0,True,d662e95d5b836bdec449866f1217609e5b9acdab0b4ea8706f711dce70adc96f,False
335020,275,127.77545454545455,1.0,True,93c36c8128e776186f9f1c75be9f5f3793e70ef263ccb69f67449afef5910c6f,False
335022,275,21.13909090909091,1.0,True,834f845a5b130540bb9556306a766b288d138a3097a1f03adda6fe787ad883ba,False
335023,275,8.153636363636364,1.0,True,6b38ed6ebbe3bc182a4fc56f64e3bee57aadd85b0fff42d92d7817691d3d28fc,False
335024,275,0.0,1.0,True,a760ba107fcc99725b8dcdb5b8ca54518691d235adaa26bd00e53c13b218eb86,False
335027,275,31.250727272727275,1.0,True,aafb1180c6001f46f96b165be1620b09a2d784436c89044c7aa1b46d434889ca,False
335028,275,79.41818181818182,1.0,True,d3e9ce76af74716ffac47afa20139bc5e096f8a264797ebd7b4f67e21982e2c1,False
335030,275,103.63163636363636,1.0,True,b35cac744733947bc79f9d1a0ee6fe63b81bba9decfe3c34eb991d84ce606448,False
335034,275,52.34854545454546,1.0,True,4273144b50ba17bf02834b5f85d2d086170566c47cabe9b186ea87b849a0028f,False
335040,275,49.35367272727273,1.0,True,2c9066a052b7a810634a7005e7459ec28efe597b7899105f3e863a8ce6f99f92,False
335044,275,158.65636363636364,1.0,True,eeef2bf77167087b1d7655315fa0e29d8fd374a8afa12e7735116d9d276a7e99,False
335046,275,32.724545454545456,1.0,True,131f7cf980f3d46787d205f9b67bebda347642ffdc553659a974511be0a79b2a,True
335048,275,32.871818181818185,1.0,True,c7428867f5cb5fe7987a1d3f6607911942f1fa359d5f491466158833edf89b1f,False
335050,275,131.54549090909092,1.0,True,af9a2391a91823189d9d548c200713531f55b195f51129ca98f4208a21c776ba,False
335053,275,4.767963636363636,1.0,True,52175b7a82e44b409bac67f518c3262e55486e065808351d85fd7cf2e0d1cc48,False
335056,275,0.0,1.0,True,ee2b4b8bfa8a7e682d15ba0af03e5c46dcc9d1c915fb22de89b19d47eb8ee74e,False
335061,275,3.928181818181818,1.0,True,0adcd1d9541e9ce74b4b512e68c31448d73408f3a2ec6530c86293a03fb6e751,True
335063,275,122.47101818181818,1.0,True,9736c732cd351ba66973dadd0a3515dcfc5b2d63527fcec1fd1d203bf3a27a2f,False
335067,275,110.00083636363637,1.0,True,34c14d1cf67e016acca8f161c278a44233bf4fef04818b8c014e5204ea3171b2,False
335068,275,12.386327272727272,1.0,True,4f712f593ca4d6ae8b7cd2ac821727b59a8cbd99ad8d52e2cc28e94647472b3a,False
335069,275,0.0,1.0,True,8942bc37660f029c9ba06b09ff999e1d2ff9be4792e283846255f18836848d2b,False
335070,275,284.7216,1.0,True,e8eb23d9094ed5c50f874b70a89388437be3eaa0c4d32172bba3672fce8718ab,False
335072,275,17.48,1.0,True,b823ceb86d23038955c95dda1a81b9677ef8b158e8b7cfcb956cdbf66a2974ea,False
335074,275,91.02821818181818,1.0,True,aa8a64478af6f4c1bb4bb8e033528e795943652fd45ab92be5df1e859dccbaed,False
335077,275,0.0,1.0,True,d15ada774a41da16cf18b615d116d4d5161fe2c1b17a5e41f239653456787d22,False
335078,275,0.13818181818181818,1.0,True,5db8f467a857ae1803ce51c4ee75dddc3917d936ef70cdfb2271034ece22fc1b,False
335079,275,20.193636363636365,1.0,True,980b884fe3ff713ce2aad77ee9a00bd07ad812cf88563c94841199ebd433e93f,False
335080,275,359.92832727272724,1.0,True,8bd08e95cb7ca454bd743734aa8b97b45f3e6a752ab83487d300a57e49491e93,False
335081,275,5.120472727272728,1.0,True,b05cef4a6f0ae452932897449d73a7f2ecd8e60a63d46834166e4e3c7c5fbd83,False
335082,275,0.3558181818181818,1.0,True,71e085b325984d46d3326990960295d0607e3fd50bf0c864ee0b60bd54644854,False
335083,275,16.865454545454547,1.0,True,7cc84f7a22d0925973781fe3fb81e41b48411253ebcd0d6df765ee5e83a47d78,False
335087,275,0.0,1.0,True,714e32977541921f006633f2644dd40171b7ca292c360bc518ca51f4167da1cd,False
335090,275,56.12570909090909,1.0,True,2a7428b852e54d1819319ed56415fe45fd892936b0860c9c05e68172bfa6a098,False
335091,275,97.35909090909091,1.0,True,bad916843bce2d792eccfb2c80cfbae02654aefe15cb8eeeacf231a325d1da9c,False
335092,275,116.4166909090909,1.0,True,6fd5be15b7141e7794562b04b22ce16bf3f5b1cbc33870b7bb21eb0f427d993c,False
