facility,name,volume_group,origin,target_end,previous_7,prediction,lower,upper,model,model_version,split,interval_level,training_cutoff,calibration_target_end,availability_assumption,units,interval_width,review_status,selected_origin
335762,ST MARYS CENTER INC,medium,2026-03-24,2026-03-31,44.75,44.75,28.052919708029197,61.447080291970806,previous_7,c1b7f9939a74d3d1-previous_7,test,0.9,2025-06-30,2025-09-30,historical replay: internal daily feed through end of origin,contract RN + LPN + CNA hours over next seven calendar days,33.39416058394161,Available,2026-03-24
335590,PONTIAC NURSING HOME,low,2026-03-24,2026-03-31,58.25,58.25,36.62591240875912,79.87408759124088,previous_7,c1b7f9939a74d3d1-previous_7,test,0.9,2025-06-30,2025-09-30,historical replay: internal daily feed through end of origin,contract RN + LPN + CNA hours over next seven calendar days,43.24817518248176,Low historical coverage — review,2026-03-24
335617,LATTA ROAD NURSING HOME WEST,low,2026-03-24,2026-03-31,0.0,0.0,0.0,0.36496350364963503,previous_7,c1b7f9939a74d3d1-previous_7,test,0.9,2025-06-30,2025-09-30,historical replay: internal daily feed through end of origin,contract RN + LPN + CNA hours over next seven calendar days,0.36496350364963503,Available,2026-03-24
335139,FOREST HILLS CARE CENTER,low,2026-03-24,2026-03-31,0.0,0.0,0.0,0.36496350364963503,previous_7,c1b7f9939a74d3d1-previous_7,test,0.9,2025-06-30,2025-09-30,historical replay: internal daily feed through end of origin,contract RN + LPN + CNA hours over next seven calendar days,0.36496350364963503,Available,2026-03-24
335524,METHODIST HOME FOR NURSING AND REHABILITATION,medium,2026-03-24,2026-03-31,427.5,427.5,271.1131386861314,583.8868613138686,previous_7,c1b7f9939a74d3d1-previous_7,test,0.9,2025-06-30,2025-09-30,historical replay: internal daily feed through end of origin,contract RN + LPN + CNA hours over next seven calendar days,312.77372262773724,Available,2026-03-24
335291,WILLOW POINT REHABILITATION AND NURSING CENTER,high,2026-03-24,2026-03-31,3048.75,3048.75,1935.7025547445255,4161.7974452554745,previous_7,c1b7f9939a74d3d1-previous_7,test,0.9,2025-06-30,2025-09-30,historical replay: internal daily feed through end of origin,contract RN + LPN + CNA hours over next seven calendar days,2226.094890510949,Available,2026-03-24
335175,BROOKSIDE MULTICARE NURSING CENTER,high,2026-03-24,2026-03-31,806.5,806.5,511.7919708029197,1101.2080291970804,previous_7,c1b7f9939a74d3d1-previous_7,test,0.9,2025-06-30,2025-09-30,historical replay: internal daily feed through end of origin,contract RN + LPN + CNA hours over next seven calendar days,589.4160583941607,Available,2026-03-24
335619,NORTH COUNTRY NURSING & REHABILITATION CENTER,low,2026-03-24,2026-03-31,50.0,50.0,31.386861313868614,68.61313868613138,previous_7,c1b7f9939a74d3d1-previous_7,test,0.9,2025-06-30,2025-09-30,historical replay: internal daily feed through end of origin,contract RN + LPN + CNA hours over next seven calendar days,37.226277372262764,Available,2026-03-24
335133,SAPPHIRE CENTER FOR REHAB & NURSING,high,2026-03-24,2026-03-31,716.5,716.5,454.63868613138686,978.3613138686131,previous_7,c1b7f9939a74d3d1-previous_7,test,0.9,2025-06-30,2025-09-30,historical replay: internal daily feed through end of origin,contract RN + LPN + CNA hours over next seven calendar days,523.7226277372263,Available,2026-03-24
335772,RICHMOND CTR FOR REHAB AND SPECIALTY HEALTHCARE,high,2026-03-24,2026-03-31,3473.0,3473.0,2205.116788321168,4740.883211678833,previous_7,c1b7f9939a74d3d1-previous_7,test,0.9,2025-06-30,2025-09-30,historical replay: internal daily feed through end of origin,contract RN + LPN + CNA hours over next seven calendar days,2535.7664233576647,Available,2026-03-24
335691,ELDERWOOD AT HORNELL,low,2026-03-24,2026-03-31,0.0,0.0,0.0,0.36496350364963503,previous_7,c1b7f9939a74d3d1-previous_7,test,0.9,2025-06-30,2025-09-30,historical replay: internal daily feed through end of origin,contract RN + LPN + CNA hours over next seven calendar days,0.36496350364963503,Available,2026-03-24
335269,THE WARTBURG HOME,low,2026-03-24,2026-03-31,0.0,0.0,0.0,0.36496350364963503,previous_7,c1b7f9939a74d3d1-previous_7,test,0.9,2025-06-30,2025-09-30,historical replay: internal daily feed through end of origin,contract RN + LPN + CNA hours over next seven calendar days,0.36496350364963503,Available,2026-03-24
335859,GOOD SHEPHERD VILLAGE AT ENDWELL,low,2026-03-24,2026-03-31,0.0,0.0,0.0,0.36496350364963503,previous_7,c1b7f9939a74d3d1-previous_7,test,0.9,2025-06-30,2025-09-30,historical replay: internal daily feed through end of origin,contract RN + LPN + CNA hours over next seven calendar days,0.36496350364963503,Available,2026-03-24
335386,THE GRAND REHABILITATION AND NURSING AT MOHAWK,low,2026-03-24,2026-03-31,0.0,0.0,0.0,0.36496350364963503,previous_7,c1b7f9939a74d3d1-previous_7,test,0.9,2025-06-30,2025-09-30,historical replay: internal daily feed through end of origin,contract RN + LPN + CNA hours over next seven calendar days,0.36496350364963503,Available,2026-03-24
335480,CHEMUNG COUNTY HEALTH CENTER - NURSING FACILITY,high,2026-03-24,2026-03-31,1158.46,1158.46,735.2994160583942,1581.620583941606,previous_7,c1b7f9939a74d3d1-previous_7,test,0.9,2025-06-30,2025-09-30,historical replay: internal daily feed through end of origin,contract RN + LPN + CNA hours over next seven calendar days,846.3211678832117,Available,2026-03-24
335472,CENTRAL QUEENS REHAB & NURSING CENTER,high,2026-03-24,2026-03-31,0.0,0.0,0.0,0.36496350364963503,previous_7,c1b7f9939a74d3d1-previous_7,test,0.9,2025-06-30,2025-09-30,historical replay: internal daily feed through end of origin,contract RN + LPN + CNA hours over next seven calendar days,0.36496350364963503,Available,2026-03-24
335662,AUTUMN VIEW HEALTH CARE FACILITY L L C,low,2026-03-24,2026-03-31,0.0,0.0,0.0,0.36496350364963503,previous_7,c1b7f9939a74d3d1-previous_7,test,0.9,2025-06-30,2025-09-30,historical replay: internal daily feed through end of origin,contract RN + LPN + CNA hours over next seven calendar days,0.36496350364963503,Available,2026-03-24
335154,WATERVIEW NURSING CARE CENTER,medium,2026-03-24,2026-03-31,76.75,76.75,48.37408759124088,105.12591240875912,previous_7,c1b7f9939a74d3d1-previous_7,test,0.9,2025-06-30,2025-09-30,historical replay: internal daily feed through end of origin,contract RN + LPN + CNA hours over next seven calendar days,56.75182481751824,Available,2026-03-24
335061,UNIVERSITY CENTER FOR REHABILITATION AND NURSING,low,2026-03-24,2026-03-31,14.5,14.5,8.843065693430656,20.156934306569344,previous_7,c1b7f9939a74d3d1-previous_7,test,0.9,2025-06-30,2025-09-30,historical replay: internal daily feed through end of origin,contract RN + LPN + CNA hours over next seven calendar days,11.313868613138688,Low historical coverage — review,2026-03-24
335323,THE ELEANOR NURSING CARE CENTER,low,2026-03-24,2026-03-31,0.0,0.0,0.0,0.36496350364963503,previous_7,c1b7f9939a74d3d1-previous_7,test,0.9,2025-06-30,2025-09-30,historical replay: internal daily feed through end of origin,contract RN + LPN + CNA hours over next seven calendar days,0.36496350364963503,Available,2026-03-24
