facility,origin,target_end,volume_group,previous_7,prediction,lower,upper,model,model_version,split,interval_level,training_cutoff,calibration_target_end,availability_assumption,units,actual,absolute_error
335291,2026-01-01,2026-01-08,high,2755.5,2755.5,1749.478102189781,3761.521897810219,previous_7,c1b7f9939a74d3d1-previous_7,test,0.9,2025-06-30,2025-09-30,historical replay: internal daily feed through end of origin,contract RN + LPN + CNA hours over next seven calendar days,3502.75,747.25
335291,2026-01-02,2026-01-09,high,2807.75,2807.75,1782.6587591240875,3832.8412408759123,previous_7,c1b7f9939a74d3d1-previous_7,test,0.9,2025-06-30,2025-09-30,historical replay: internal daily feed through end of origin,contract RN + LPN + CNA hours over next seven calendar days,3552.25,744.5
335133,2026-01-25,2026-02-01,high,0.0,0.0,0.0,0.36496350364963503,previous_7,c1b7f9939a74d3d1-previous_7,test,0.9,2025-06-30,2025-09-30,historical replay: internal daily feed through end of origin,contract RN + LPN + CNA hours over next seven calendar days,696.56,696.56
335772,2025-11-01,2025-11-08,high,3287.25,3287.25,2087.1587591240877,4487.341240875912,previous_7,c1b7f9939a74d3d1-previous_7,test,0.9,2025-06-30,2025-09-30,historical replay: internal daily feed through end of origin,contract RN + LPN + CNA hours over next seven calendar days,3966.75,679.5
335772,2025-11-02,2025-11-09,high,3326.75,3326.75,2112.242700729927,4541.257299270073,previous_7,c1b7f9939a74d3d1-previous_7,test,0.9,2025-06-30,2025-09-30,historical replay: internal daily feed through end of origin,contract RN + LPN + CNA hours over next seven calendar days,3996.0,669.25
335133,2026-01-26,2026-02-02,high,68.47,68.47,43.11598540145985,93.82401459854015,previous_7,c1b7f9939a74d3d1-previous_7,test,0.9,2025-06-30,2025-09-30,historical replay: internal daily feed through end of origin,contract RN + LPN + CNA hours over next seven calendar days,720.34,651.87
335291,2025-12-02,2025-12-09,high,2601.0,2601.0,1651.3649635036495,3550.6350364963505,previous_7,c1b7f9939a74d3d1-previous_7,test,0.9,2025-06-30,2025-09-30,historical replay: internal daily feed through end of origin,contract RN + LPN + CNA hours over next seven calendar days,3218.75,617.75
335133,2026-01-27,2026-02-03,high,135.47,135.47,85.66343065693431,185.2765693430657,previous_7,c1b7f9939a74d3d1-previous_7,test,0.9,2025-06-30,2025-09-30,historical replay: internal daily feed through end of origin,contract RN + LPN + CNA hours over next seven calendar days,748.86,613.39
335291,2026-01-05,2026-01-12,high,3001.0,3001.0,1905.3795620437957,4096.620437956204,previous_7,c1b7f9939a74d3d1-previous_7,test,0.9,2025-06-30,2025-09-30,historical replay: internal daily feed through end of origin,contract RN + LPN + CNA hours over next seven calendar days,3613.25,612.25
335291,2026-01-03,2026-01-10,high,2930.5,2930.5,1860.609489051095,4000.390510948905,previous_7,c1b7f9939a74d3d1-previous_7,test,0.9,2025-06-30,2025-09-30,historical replay: internal daily feed through end of origin,contract RN + LPN + CNA hours over next seven calendar days,3523.75,593.25
335133,2026-01-24,2026-01-31,high,0.0,0.0,0.0,0.36496350364963503,previous_7,c1b7f9939a74d3d1-previous_7,test,0.9,2025-06-30,2025-09-30,historical replay: internal daily feed through end of origin,contract RN + LPN + CNA hours over next seven calendar days,571.89,571.89
335133,2025-12-31,2026-01-07,high,560.25,560.25,355.41423357664235,765.0857664233577,previous_7,c1b7f9939a74d3d1-previous_7,test,0.9,2025-06-30,2025-09-30,historical replay: internal daily feed through end of origin,contract RN + LPN + CNA hours over next seven calendar days,0.0,560.25
